timestamp,zone,installed_capacity_mw,psr_type
2021-12-31 23:00:00+00:00,Belgium,5943.0,B14
2021-12-31 23:00:00+00:00,Belgium,4787.56,B16
2021-12-31 23:00:00+00:00,Belgium,383.64,B17
2021-12-31 23:00:00+00:00,Belgium,2254.4,B18
2021-12-31 23:00:00+00:00,Belgium,2786.65,B19
2021-12-31 23:00:00+00:00,Belgium,18.5,B20
2021-12-31 23:00:00+00:00,Belgium,700.47,B01
2021-12-31 23:00:00+00:00,Belgium,6818.77,B04
2021-12-31 23:00:00+00:00,Belgium,398.47,B06
2021-12-31 23:00:00+00:00,Belgium,1308.0,B10
2021-12-31 23:00:00+00:00,Belgium,184.7,B11
2021-12-31 23:00:00+00:00,Belgium,5943.0,B14
2021-12-31 23:00:00+00:00,Belgium,4787.56,B16
2021-12-31 23:00:00+00:00,Belgium,383.64,B17
2021-12-31 23:00:00+00:00,Belgium,2254.4,B18
2021-12-31 23:00:00+00:00,Belgium,2786.65,B19
2021-12-31 23:00:00+00:00,Belgium,18.5,B20
2021-12-31 23:00:00+00:00,Belgium,700.47,B01
2021-12-31 23:00:00+00:00,Belgium,6818.77,B04
2021-12-31 23:00:00+00:00,Belgium,398.47,B06
2021-12-31 23:00:00+00:00,Belgium,1308.0,B10
2021-12-31 23:00:00+00:00,Belgium,184.7,B11
2021-12-31 23:00:00+00:00,Belgium,5943.0,B14
2021-12-31 23:00:00+00:00,Belgium,4787.56,B16
2021-12-31 23:00:00+00:00,Belgium,383.64,B17
2021-12-31 23:00:00+00:00,Belgium,2254.4,B18
2021-12-31 23:00:00+00:00,Belgium,2786.65,B19
2021-12-31 23:00:00+00:00,Belgium,18.5,B20
2021-12-31 23:00:00+00:00,Belgium,700.47,B01
2021-12-31 23:00:00+00:00,Belgium,6818.77,B04
2021-12-31 23:00:00+00:00,Belgium,398.47,B06
2021-12-31 23:00:00+00:00,Belgium,1308.0,B10
2021-12-31 23:00:00+00:00,Belgium,184.7,B11
2021-12-31 23:00:00+00:00,Belgium,5943.0,B14
2021-12-31 23:00:00+00:00,Belgium,4787.56,B16
2021-12-31 23:00:00+00:00,Belgium,383.64,B17
2021-12-31 23:00:00+00:00,Belgium,2254.4,B18
2021-12-31 23:00:00+00:00,Belgium,2786.65,B19
2021-12-31 23:00:00+00:00,Belgium,18.5,B20
2021-12-31 23:00:00+00:00,Belgium,700.47,B01
2021-12-31 23:00:00+00:00,Belgium,6818.77,B04
2021-12-31 23:00:00+00:00,Belgium,398.47,B06
2021-12-31 23:00:00+00:00,Belgium,1308.0,B10
2021-12-31 23:00:00+00:00,Belgium,184.7,B11
2021-12-31 23:00:00+00:00,Belgium,5943.0,B14
2021-12-31 23:00:00+00:00,Belgium,4787.56,B16
2021-12-31 23:00:00+00:00,Belgium,383.64,B17
2021-12-31 23:00:00+00:00,Belgium,2254.4,B18
2021-12-31 23:00:00+00:00,Belgium,2786.65,B19
2021-12-31 23:00:00+00:00,Belgium,18.5,B20
2021-12-31 23:00:00+00:00,Belgium,700.47,B01
2021-12-31 23:00:00+00:00,Belgium,6818.77,B04
2021-12-31 23:00:00+00:00,Belgium,398.47,B06
2021-12-31 23:00:00+00:00,Belgium,1308.0,B10
2021-12-31 23:00:00+00:00,Belgium,184.7,B11
2021-12-31 23:00:00+00:00,Belgium,5943.0,B14
2021-12-31 23:00:00+00:00,Belgium,4787.56,B16
2021-12-31 23:00:00+00:00,Belgium,383.64,B17
2021-12-31 23:00:00+00:00,Belgium,2254.4,B18
2021-12-31 23:00:00+00:00,Belgium,2786.65,B19
2021-12-31 23:00:00+00:00,Belgium,18.5,B20
2021-12-31 23:00:00+00:00,Belgium,700.47,B01
2021-12-31 23:00:00+00:00,Belgium,6818.77,B04
2021-12-31 23:00:00+00:00,Belgium,398.47,B06
2021-12-31 23:00:00+00:00,Belgium,1308.0,B10
2021-12-31 23:00:00+00:00,Belgium,184.7,B11
2021-12-31 23:00:00+00:00,Belgium,5943.0,B14
2021-12-31 23:00:00+00:00,Belgium,4787.56,B16
2021-12-31 23:00:00+00:00,Belgium,383.64,B17
2021-12-31 23:00:00+00:00,Belgium,2254.4,B18
2021-12-31 23:00:00+00:00,Belgium,2786.65,B19
2021-12-31 23:00:00+00:00,Belgium,18.5,B20
2021-12-31 23:00:00+00:00,Belgium,700.47,B01
2021-12-31 23:00:00+00:00,Belgium,6818.77,B04
2021-12-31 23:00:00+00:00,Belgium,398.47,B06
2021-12-31 23:00:00+00:00,Belgium,1308.0,B10
2021-12-31 23:00:00+00:00,Belgium,184.7,B11
2021-12-31 23:00:00+00:00,Belgium,5943.0,B14
2021-12-31 23:00:00+00:00,Belgium,4787.56,B16
2021-12-31 23:00:00+00:00,Belgium,383.64,B17
2021-12-31 23:00:00+00:00,Belgium,2254.4,B18
2021-12-31 23:00:00+00:00,Belgium,2786.65,B19
2021-12-31 23:00:00+00:00,Belgium,18.5,B20
2022-12-31 23:00:00+00:00,Belgium,730.34,B01
2022-12-31 23:00:00+00:00,Belgium,6987.62,B04
2022-12-31 23:00:00+00:00,Belgium,449.87,B06
2022-12-31 23:00:00+00:00,Belgium,1308.0,B10
2022-12-31 23:00:00+00:00,Belgium,185.51,B11
2022-12-31 23:00:00+00:00,Belgium,4937.0,B14
2022-12-31 23:00:00+00:00,Belgium,6474.96,B16
2022-12-31 23:00:00+00:00,Belgium,383.64,B17
2022-12-31 23:00:00+00:00,Belgium,2262.1,B18
2022-12-31 23:00:00+00:00,Belgium,3053.18,B19
2022-12-31 23:00:00+00:00,Belgium,27.05,B20
2022-12-31 23:00:00+00:00,Belgium,730.34,B01
2022-12-31 23:00:00+00:00,Belgium,6987.62,B04
2022-12-31 23:00:00+00:00,Belgium,449.87,B06
2022-12-31 23:00:00+00:00,Belgium,1308.0,B10
2022-12-31 23:00:00+00:00,Belgium,185.51,B11
2022-12-31 23:00:00+00:00,Belgium,4937.0,B14
2022-12-31 23:00:00+00:00,Belgium,6474.96,B16
2022-12-31 23:00:00+00:00,Belgium,383.64,B17
2022-12-31 23:00:00+00:00,Belgium,2262.1,B18
2022-12-31 23:00:00+00:00,Belgium,3053.18,B19
2022-12-31 23:00:00+00:00,Belgium,27.05,B20
2022-12-31 23:00:00+00:00,Belgium,730.34,B01
2022-12-31 23:00:00+00:00,Belgium,6987.62,B04
2022-12-31 23:00:00+00:00,Belgium,449.87,B06
2022-12-31 23:00:00+00:00,Belgium,1308.0,B10
2022-12-31 23:00:00+00:00,Belgium,185.51,B11
2022-12-31 23:00:00+00:00,Belgium,4937.0,B14
2022-12-31 23:00:00+00:00,Belgium,6474.96,B16
2022-12-31 23:00:00+00:00,Belgium,383.64,B17
2022-12-31 23:00:00+00:00,Belgium,2262.1,B18
2022-12-31 23:00:00+00:00,Belgium,3053.18,B19
2022-12-31 23:00:00+00:00,Belgium,27.05,B20
2022-12-31 23:00:00+00:00,Belgium,730.34,B01
2022-12-31 23:00:00+00:00,Belgium,6987.62,B04
2022-12-31 23:00:00+00:00,Belgium,449.87,B06
2022-12-31 23:00:00+00:00,Belgium,1308.0,B10
2022-12-31 23:00:00+00:00,Belgium,185.51,B11
2022-12-31 23:00:00+00:00,Belgium,4937.0,B14
2022-12-31 23:00:00+00:00,Belgium,6474.96,B16
2022-12-31 23:00:00+00:00,Belgium,383.64,B17
2022-12-31 23:00:00+00:00,Belgium,2262.1,B18
2022-12-31 23:00:00+00:00,Belgium,3053.18,B19
2022-12-31 23:00:00+00:00,Belgium,27.05,B20
2022-12-31 23:00:00+00:00,Belgium,730.34,B01
2022-12-31 23:00:00+00:00,Belgium,6987.62,B04
2022-12-31 23:00:00+00:00,Belgium,449.87,B06
2022-12-31 23:00:00+00:00,Belgium,1308.0,B10
2022-12-31 23:00:00+00:00,Belgium,185.51,B11
2022-12-31 23:00:00+00:00,Belgium,4937.0,B14
2022-12-31 23:00:00+00:00,Belgium,6474.96,B16
2022-12-31 23:00:00+00:00,Belgium,383.64,B17
2022-12-31 23:00:00+00:00,Belgium,2262.1,B18
2022-12-31 23:00:00+00:00,Belgium,3053.18,B19
2022-12-31 23:00:00+00:00,Belgium,27.05,B20
2022-12-31 23:00:00+00:00,Belgium,730.34,B01
2022-12-31 23:00:00+00:00,Belgium,6987.62,B04
2022-12-31 23:00:00+00:00,Belgium,449.87,B06
2022-12-31 23:00:00+00:00,Belgium,1308.0,B10
2022-12-31 23:00:00+00:00,Belgium,185.51,B11
2022-12-31 23:00:00+00:00,Belgium,4937.0,B14
2022-12-31 23:00:00+00:00,Belgium,6474.96,B16
2022-12-31 23:00:00+00:00,Belgium,383.64,B17
2022-12-31 23:00:00+00:00,Belgium,2262.1,B18
2022-12-31 23:00:00+00:00,Belgium,3053.18,B19
2022-12-31 23:00:00+00:00,Belgium,27.05,B20
2022-12-31 23:00:00+00:00,Belgium,730.34,B01
2022-12-31 23:00:00+00:00,Belgium,6987.62,B04
2022-12-31 23:00:00+00:00,Belgium,449.87,B06
2022-12-31 23:00:00+00:00,Belgium,1308.0,B10
2022-12-31 23:00:00+00:00,Belgium,185.51,B11
2022-12-31 23:00:00+00:00,Belgium,4937.0,B14
2022-12-31 23:00:00+00:00,Belgium,6474.96,B16
2022-12-31 23:00:00+00:00,Belgium,383.64,B17
2022-12-31 23:00:00+00:00,Belgium,2262.1,B18
2022-12-31 23:00:00+00:00,Belgium,3053.18,B19
2022-12-31 23:00:00+00:00,Belgium,27.05,B20
2022-12-31 23:00:00+00:00,Belgium,730.34,B01
2022-12-31 23:00:00+00:00,Belgium,6987.62,B04
2022-12-31 23:00:00+00:00,Belgium,449.87,B06
2022-12-31 23:00:00+00:00,Belgium,1308.0,B10
2022-12-31 23:00:00+00:00,Belgium,185.51,B11
2022-12-31 23:00:00+00:00,Belgium,4937.0,B14
2022-12-31 23:00:00+00:00,Belgium,6474.96,B16
2022-12-31 23:00:00+00:00,Belgium,383.64,B17
2022-12-31 23:00:00+00:00,Belgium,2262.1,B18
2022-12-31 23:00:00+00:00,Belgium,3053.18,B19
2022-12-31 23:00:00+00:00,Belgium,27.05,B20
2022-12-31 23:00:00+00:00,Belgium,730.34,B01
2022-12-31 23:00:00+00:00,Belgium,6987.62,B04
2022-12-31 23:00:00+00:00,Belgium,449.87,B06
2022-12-31 23:00:00+00:00,Belgium,1308.0,B10
2022-12-31 23:00:00+00:00,Belgium,185.51,B11
2022-12-31 23:00:00+00:00,Belgium,4937.0,B14
2022-12-31 23:00:00+00:00,Belgium,6474.96,B16
2022-12-31 23:00:00+00:00,Belgium,383.64,B17
2022-12-31 23:00:00+00:00,Belgium,2262.1,B18
2022-12-31 23:00:00+00:00,Belgium,3053.18,B19
2022-12-31 23:00:00+00:00,Belgium,27.05,B20
2022-12-31 23:00:00+00:00,Belgium,730.34,B01
2022-12-31 23:00:00+00:00,Belgium,6987.62,B04
2022-12-31 23:00:00+00:00,Belgium,449.87,B06
2022-12-31 23:00:00+00:00,Belgium,1308.0,B10
2022-12-31 23:00:00+00:00,Belgium,185.51,B11
2022-12-31 23:00:00+00:00,Belgium,4937.0,B14
2022-12-31 23:00:00+00:00,Belgium,6474.96,B16
2022-12-31 23:00:00+00:00,Belgium,383.64,B17
2022-12-31 23:00:00+00:00,Belgium,2262.1,B18
2022-12-31 23:00:00+00:00,Belgium,3053.18,B19
2022-12-31 23:00:00+00:00,Belgium,27.05,B20
2022-12-31 23:00:00+00:00,Belgium,730.34,B01
2022-12-31 23:00:00+00:00,Belgium,6987.62,B04
2022-12-31 23:00:00+00:00,Belgium,449.87,B06
2022-12-31 23:00:00+00:00,Belgium,1308.0,B10
2022-12-31 23:00:00+00:00,Belgium,185.51,B11
2022-12-31 23:00:00+00:00,Belgium,4937.0,B14
2022-12-31 23:00:00+00:00,Belgium,6474.96,B16
2022-12-31 23:00:00+00:00,Belgium,383.64,B17
2022-12-31 23:00:00+00:00,Belgium,2262.1,B18
2022-12-31 23:00:00+00:00,Belgium,3053.18,B19
2022-12-31 23:00:00+00:00,Belgium,27.05,B20
2022-12-31 23:00:00+00:00,Belgium,730.34,B01
2022-12-31 23:00:00+00:00,Belgium,6987.62,B04
2022-12-31 23:00:00+00:00,Belgium,449.87,B06
2022-12-31 23:00:00+00:00,Belgium,1308.0,B10
2022-12-31 23:00:00+00:00,Belgium,185.51,B11
2022-12-31 23:00:00+00:00,Belgium,4937.0,B14
2022-12-31 23:00:00+00:00,Belgium,6474.96,B16
2022-12-31 23:00:00+00:00,Belgium,383.64,B17
2022-12-31 23:00:00+00:00,Belgium,2262.1,B18
2022-12-31 23:00:00+00:00,Belgium,3053.18,B19
2022-12-31 23:00:00+00:00,Belgium,27.05,B20
2023-12-31 23:00:00+00:00,Belgium,730.82,B01
2023-12-31 23:00:00+00:00,Belgium,6994.91,B04
2023-12-31 23:00:00+00:00,Belgium,451.51,B06
2023-12-31 23:00:00+00:00,Belgium,1308.0,B10
2023-12-31 23:00:00+00:00,Belgium,185.51,B11
2023-12-31 23:00:00+00:00,Belgium,3929.0,B14
2023-12-31 23:00:00+00:00,Belgium,8788.79,B16
2023-12-31 23:00:00+00:00,Belgium,383.64,B17
2023-12-31 23:00:00+00:00,Belgium,2262.1,B18
2023-12-31 23:00:00+00:00,Belgium,3053.18,B19
2023-12-31 23:00:00+00:00,Belgium,27.08,B20
2023-12-31 23:00:00+00:00,Belgium,730.82,B01
2023-12-31 23:00:00+00:00,Belgium,6994.91,B04
2023-12-31 23:00:00+00:00,Belgium,451.51,B06
2023-12-31 23:00:00+00:00,Belgium,1308.0,B10
2023-12-31 23:00:00+00:00,Belgium,185.51,B11
2023-12-31 23:00:00+00:00,Belgium,3929.0,B14
2023-12-31 23:00:00+00:00,Belgium,8788.79,B16
2023-12-31 23:00:00+00:00,Belgium,383.64,B17
2023-12-31 23:00:00+00:00,Belgium,2262.1,B18
2023-12-31 23:00:00+00:00,Belgium,3053.18,B19
2023-12-31 23:00:00+00:00,Belgium,27.08,B20
2023-12-31 23:00:00+00:00,Belgium,730.82,B01
2023-12-31 23:00:00+00:00,Belgium,6994.91,B04
2023-12-31 23:00:00+00:00,Belgium,451.51,B06
2023-12-31 23:00:00+00:00,Belgium,1308.0,B10
2023-12-31 23:00:00+00:00,Belgium,185.51,B11
2023-12-31 23:00:00+00:00,Belgium,3929.0,B14
2023-12-31 23:00:00+00:00,Belgium,8788.79,B16
2023-12-31 23:00:00+00:00,Belgium,383.64,B17
2023-12-31 23:00:00+00:00,Belgium,2262.1,B18
2023-12-31 23:00:00+00:00,Belgium,3053.18,B19
2023-12-31 23:00:00+00:00,Belgium,27.08,B20
2023-12-31 23:00:00+00:00,Belgium,730.82,B01
2023-12-31 23:00:00+00:00,Belgium,6994.91,B04
2023-12-31 23:00:00+00:00,Belgium,451.51,B06
2023-12-31 23:00:00+00:00,Belgium,1308.0,B10
2023-12-31 23:00:00+00:00,Belgium,185.51,B11
2023-12-31 23:00:00+00:00,Belgium,3929.0,B14
2023-12-31 23:00:00+00:00,Belgium,8788.79,B16
2023-12-31 23:00:00+00:00,Belgium,383.64,B17
2023-12-31 23:00:00+00:00,Belgium,2262.1,B18
2023-12-31 23:00:00+00:00,Belgium,3053.18,B19
2023-12-31 23:00:00+00:00,Belgium,27.08,B20
2023-12-31 23:00:00+00:00,Belgium,730.82,B01
2023-12-31 23:00:00+00:00,Belgium,6994.91,B04
2023-12-31 23:00:00+00:00,Belgium,451.51,B06
2023-12-31 23:00:00+00:00,Belgium,1308.0,B10
2023-12-31 23:00:00+00:00,Belgium,185.51,B11
2023-12-31 23:00:00+00:00,Belgium,3929.0,B14
2023-12-31 23:00:00+00:00,Belgium,8788.79,B16
2023-12-31 23:00:00+00:00,Belgium,383.64,B17
2023-12-31 23:00:00+00:00,Belgium,2262.1,B18
2023-12-31 23:00:00+00:00,Belgium,3053.18,B19
2023-12-31 23:00:00+00:00,Belgium,27.08,B20
2023-12-31 23:00:00+00:00,Belgium,730.82,B01
2023-12-31 23:00:00+00:00,Belgium,6994.91,B04
2023-12-31 23:00:00+00:00,Belgium,451.51,B06
2023-12-31 23:00:00+00:00,Belgium,1308.0,B10
2023-12-31 23:00:00+00:00,Belgium,185.51,B11
2023-12-31 23:00:00+00:00,Belgium,3929.0,B14
2023-12-31 23:00:00+00:00,Belgium,8788.79,B16
2023-12-31 23:00:00+00:00,Belgium,383.64,B17
2023-12-31 23:00:00+00:00,Belgium,2262.1,B18
2023-12-31 23:00:00+00:00,Belgium,3053.18,B19
2023-12-31 23:00:00+00:00,Belgium,27.08,B20
2023-12-31 23:00:00+00:00,Belgium,730.82,B01
2023-12-31 23:00:00+00:00,Belgium,6994.91,B04
2023-12-31 23:00:00+00:00,Belgium,451.51,B06
2023-12-31 23:00:00+00:00,Belgium,1308.0,B10
2023-12-31 23:00:00+00:00,Belgium,185.51,B11
2023-12-31 23:00:00+00:00,Belgium,3929.0,B14
2023-12-31 23:00:00+00:00,Belgium,8788.79,B16
2023-12-31 23:00:00+00:00,Belgium,383.64,B17
2023-12-31 23:00:00+00:00,Belgium,2262.1,B18
2023-12-31 23:00:00+00:00,Belgium,3053.18,B19
2023-12-31 23:00:00+00:00,Belgium,27.08,B20
2023-12-31 23:00:00+00:00,Belgium,730.82,B01
2023-12-31 23:00:00+00:00,Belgium,6994.91,B04
2023-12-31 23:00:00+00:00,Belgium,451.51,B06
2023-12-31 23:00:00+00:00,Belgium,1308.0,B10
2023-12-31 23:00:00+00:00,Belgium,185.51,B11
2023-12-31 23:00:00+00:00,Belgium,3929.0,B14
2023-12-31 23:00:00+00:00,Belgium,8788.79,B16
2023-12-31 23:00:00+00:00,Belgium,383.64,B17
2023-12-31 23:00:00+00:00,Belgium,2262.1,B18
2023-12-31 23:00:00+00:00,Belgium,3053.18,B19
2023-12-31 23:00:00+00:00,Belgium,27.08,B20
2023-12-31 23:00:00+00:00,Belgium,730.82,B01
2023-12-31 23:00:00+00:00,Belgium,6994.91,B04
2023-12-31 23:00:00+00:00,Belgium,451.51,B06
2023-12-31 23:00:00+00:00,Belgium,1308.0,B10
2023-12-31 23:00:00+00:00,Belgium,185.51,B11
2023-12-31 23:00:00+00:00,Belgium,3929.0,B14
2023-12-31 23:00:00+00:00,Belgium,8788.79,B16
2023-12-31 23:00:00+00:00,Belgium,383.64,B17
2023-12-31 23:00:00+00:00,Belgium,2262.1,B18
2023-12-31 23:00:00+00:00,Belgium,3053.18,B19
2023-12-31 23:00:00+00:00,Belgium,27.08,B20
2023-12-31 23:00:00+00:00,Belgium,730.82,B01
2023-12-31 23:00:00+00:00,Belgium,6994.91,B04
2023-12-31 23:00:00+00:00,Belgium,451.51,B06
2023-12-31 23:00:00+00:00,Belgium,1308.0,B10
2023-12-31 23:00:00+00:00,Belgium,185.51,B11
2023-12-31 23:00:00+00:00,Belgium,3929.0,B14
2023-12-31 23:00:00+00:00,Belgium,8788.79,B16
2023-12-31 23:00:00+00:00,Belgium,383.64,B17
2023-12-31 23:00:00+00:00,Belgium,2262.1,B18
2023-12-31 23:00:00+00:00,Belgium,3053.18,B19
2023-12-31 23:00:00+00:00,Belgium,27.08,B20
2023-12-31 23:00:00+00:00,Belgium,730.82,B01
2023-12-31 23:00:00+00:00,Belgium,6994.91,B04
2023-12-31 23:00:00+00:00,Belgium,451.51,B06
2023-12-31 23:00:00+00:00,Belgium,1308.0,B10
2023-12-31 23:00:00+00:00,Belgium,185.51,B11
2023-12-31 23:00:00+00:00,Belgium,3929.0,B14
2023-12-31 23:00:00+00:00,Belgium,8788.79,B16
2023-12-31 23:00:00+00:00,Belgium,383.64,B17
2023-12-31 23:00:00+00:00,Belgium,2262.1,B18
2023-12-31 23:00:00+00:00,Belgium,3053.18,B19
2023-12-31 23:00:00+00:00,Belgium,27.08,B20
